form,uuid,status,name
F01-MHPSS_Baseline.json,4dae5b12-070f-4153-b1ca-fbec906106e1,Exists,Admission category
F01-MHPSS_Baseline.json,9f2fe30f-a8f0-49ba-82e4-71c232259130,Exists,New admission
F01-MHPSS_Baseline.json,e4e42ecd-196b-4aa8-a265-bfbed09d77cf,Exists,Re-admission
F01-MHPSS_Baseline.json,ec42d68d-3e23-43de-b8c5-a03bb538e7c7,Exists,Sexe
F01-MHPSS_Baseline.json,625baaf5-ba75-4c23-bdef-283fd47c34db,Exists,Male
F01-MHPSS_Baseline.json,2ded9cfb-c089-4e1c-b032-7aa4a17882f7,Exists,Femme
F01-MHPSS_Baseline.json,37ccc7b5-0d1d-48d3-87a6-aee614bb500f,Not found,
F01-MHPSS_Baseline.json,1226d253-376f-4e73-9ae2-36c7e9362e8b,Not found,
F01-MHPSS_Baseline.json,810ca6e9-cabf-4aa6-98d0-c3d31cfdb5f0,Exists,Gender variant - Non conforming
F01-MHPSS_Baseline.json,245151ca-691e-4d5a-a792-64cb573e2b34,Exists,Prefer not to answer
F01-MHPSS_Baseline.json,ccb4c50d-13e0-46a2-bd5e-51c86d042ad8,Exists,غير معروف
F01-MHPSS_Baseline.json,58dec757-38d5-4c7b-9bd3-713d965f4883,Exists,Number of people living with patient
F01-MHPSS_Baseline.json,1a8bf24f-4f36-4971-aad9-ae77f3525738,Exists,Type of therapeutic session
F01-MHPSS_Baseline.json,96223dc7-6959-4ea5-a362-c0246d858c87,Exists,Individual
F01-MHPSS_Baseline.json,61b32a22-acef-4141-9faa-9c236cdfa978,Exists,Couple
F01-MHPSS_Baseline.json,f16d5d76-155b-453d-bd60-ea8ee4d344e9,Exists,Family
F01-MHPSS_Baseline.json,c39eaa06-6506-49f0-9c4f-c96fa957f9cd,Exists,اهل واطفال
F01-MHPSS_Baseline.json,b87a93ff-a4a1-4601-b35d-1e42bfa7e194,Exists,Number of beneficiaries in family consultation
F01-MHPSS_Baseline.json,722dd83a-c1cf-48ad-ac99-45ac131ccc96,Exists,Provider type
F01-MHPSS_Baseline.json,278401ee-3d6f-4c65-9455-f1c16d0a7a98,Exists,Psychologist
F01-MHPSS_Baseline.json,fda1cdd0-745e-4ff7-a3d0-b8f8ddb99331,Exists,Psycho social counsellor
F01-MHPSS_Baseline.json,82978311-bef9-46f9-9a9a-cc62254b00a6,Exists,Intervention setting
F01-MHPSS_Baseline.json,0a0c70d2-2ba5-4cb3-941f-b4a9a4a7ec6d,Exists,منشأة صحية
F01-MHPSS_Baseline.json,41e68dee-a2a3-4e6c-9d96-53def5caff52,Exists,MSF Health Facility
F01-MHPSS_Baseline.json,48984e47-3e9b-4d8e-a66d-317af5c36f02,Not found,
F01-MHPSS_Baseline.json,bd5bf44b-164c-415c-8bff-b1d4849928d3,Exists,Domicile
F01-MHPSS_Baseline.json,7091b6ea-7067-4ee3-9f67-8805904e2f61,Exists,School
F01-MHPSS_Baseline.json,398ce872-5862-4826-bba8-826915eddf98,Exists,Telehealth consultation
F01-MHPSS_Baseline.json,790b41ce-e1e7-11e8-b02f-0242ac130002,Exists,أخرى
F01-MHPSS_Baseline.json,da33d74e-33b3-495a-9d7c-aa00a-aa0166,Exists,Health facility
F01-MHPSS_Baseline.json,41e68dee-a2a3-4e6c-9d96-53def5caff52,Exists,MSF Health Facility
F01-MHPSS_Baseline.json,08cd4b4a-4b0b-4391-987b-b5b3d770d30f,Exists,Mobile Clinic
F01-MHPSS_Baseline.json,e08d532b-e56c-43dc-b831-af705654d2dc,Exists,Other findings description
